Channel              :,CH2
Frequency            :,  ?
Period               :,  ?
PK-PK                :,82.00mV
Probe attenuation    :,1X
Voltage per ADC value:,0.250000mV
Time interval        :,20.00000us

index,CH2_Voltage(mV)
915,192.000000
916,288.000000
917,188.000000
918,188.000000
919,216.000000
920,208.000000
921,300.000000
922,176.000000
923,216.000000
924,224.000000
925,224.000000
926,204.000000
927,176.000000
928,204.000000
929,184.000000
930,180.000000
931,216.000000
932,196.000000
933,220.000000
934,172.000000
935,168.000000
936,188.000000
937,216.000000
938,164.000000
939,200.000000
940,216.000000
941,176.000000
942,196.000000
943,196.000000
944,168.000000
945,192.000000
946,204.000000
947,204.000000
948,164.000000
949,176.000000
950,236.000000
951,196.000000
952,216.000000
953,196.000000
954,224.000000
955,192.000000
956,216.000000
957,204.000000
958,196.000000
959,200.000000
960,216.000000
961,204.000000
962,192.000000
963,216.000000
964,204.000000
965,200.000000
966,188.000000
967,184.000000
968,196.000000
969,236.000000
970,196.000000
971,196.000000
972,272.000000
973,184.000000
974,196.000000
975,184.000000
976,220.000000
977,204.000000
978,184.000000
979,196.000000
980,220.000000
981,212.000000
982,220.000000
983,224.000000
984,188.000000
985,192.000000
986,200.000000
987,192.000000
988,280.000000
989,180.000000
990,208.000000
991,208.000000
992,204.000000
993,216.000000
994,204.000000
995,220.000000
996,212.000000
997,208.000000
998,216.000000
999,204.000000
1000,216.000000
1001,212.000000
1002,224.000000
1003,224.000000
1004,164.000000
1005,212.000000
1006,196.000000
1007,180.000000
1008,156.000000
1009,184.000000
1010,220.000000
1011,196.000000
1012,248.000000
1013,196.000000
1014,184.000000
1015,204.000000
1016,176.000000
1017,224.000000
1018,200.000000
1019,188.000000
1020,200.000000
1021,176.000000
1022,204.000000
1023,204.000000
1024,188.000000
1025,192.000000
1026,208.000000
1027,156.000000
1028,212.000000
1029,192.000000
1030,192.000000
1031,200.000000
1032,236.000000
1033,176.000000
1034,216.000000
1035,216.000000
1036,176.000000
1037,212.000000
1038,208.000000
1039,204.000000
1040,196.000000
1041,204.000000
1042,184.000000
1043,196.000000
1044,196.000000
1045,224.000000
1046,220.000000
1047,188.000000
1048,208.000000
1049,208.000000
1050,196.000000
1051,192.000000
1052,188.000000
1053,220.000000
1054,212.000000
1055,224.000000
1056,164.000000
1057,216.000000
1058,204.000000
1059,208.000000
1060,192.000000
1061,196.000000
1062,196.000000
1063,204.000000
1064,284.000000
1065,196.000000
1066,208.000000
1067,176.000000
1068,192.000000
1069,180.000000
1070,204.000000
1071,200.000000
1072,160.000000
1073,196.000000
1074,204.000000
1075,192.000000
1076,220.000000
1077,216.000000
1078,204.000000
1079,196.000000
1080,200.000000
1081,200.000000
1082,184.000000
1083,204.000000
1084,208.000000
1085,208.000000
1086,208.000000
1087,184.000000
1088,212.000000
1089,192.000000
1090,192.000000
1091,192.000000
1092,232.000000
1093,208.000000
1094,216.000000
1095,212.000000
1096,192.000000
1097,184.000000
1098,208.000000
1099,208.000000
1100,192.000000
1101,204.000000
1102,208.000000
1103,176.000000
1104,208.000000
1105,204.000000
1106,188.000000
1107,192.000000
1108,204.000000
1109,196.000000
1110,168.000000
1111,184.000000
1112,208.000000
1113,204.000000
1114,192.000000
1115,284.000000
1116,200.000000
1117,196.000000
1118,176.000000
1119,216.000000
1120,160.000000
1121,208.000000
1122,224.000000
1123,200.000000
1124,220.000000
1125,184.000000
1126,184.000000
1127,204.000000
1128,148.000000
1129,196.000000
1130,148.000000
1131,184.000000
1132,184.000000
1133,216.000000
1134,236.000000
1135,236.000000
1136,200.000000
1137,184.000000
1138,184.000000
1139,220.000000
1140,216.000000
1141,180.000000
1142,204.000000
1143,204.000000
1144,184.000000
1145,192.000000
1146,184.000000
1147,184.000000
1148,172.000000
1149,196.000000
1150,160.000000
1151,192.000000
1152,200.000000
1153,212.000000
1154,192.000000
1155,212.000000
1156,156.000000
1157,160.000000
1158,164.000000
1159,272.000000
1160,204.000000
1161,220.000000
1162,208.000000
1163,204.000000
1164,208.000000
1165,216.000000
1166,212.000000
1167,176.000000
1168,208.000000
1169,212.000000
1170,244.000000
1171,176.000000
1172,224.000000
1173,288.000000
1174,204.000000
1175,204.000000
1176,204.000000
1177,168.000000
1178,184.000000
1179,196.000000
1180,184.000000
1181,184.000000
1182,204.000000
1183,216.000000
1184,204.000000
1185,212.000000
1186,208.000000
1187,212.000000
1188,180.000000
1189,216.000000
1190,204.000000
1191,212.000000
1192,176.000000
1193,188.000000
1194,200.000000
1195,196.000000
1196,228.000000
1197,228.000000
1198,212.000000
1199,200.000000
1200,212.000000
1201,196.000000
1202,220.000000
1203,228.000000
1204,248.000000
1205,308.000000
1206,148.000000
1207,220.000000
1208,200.000000
1209,236.000000
1210,196.000000
1211,196.000000
1212,184.000000
1213,140.000000
1214,192.000000
1215,204.000000
1216,208.000000
1217,208.000000
1218,208.000000
1219,200.000000
1220,228.000000
1221,192.000000
1222,216.000000
1223,288.000000
1224,240.000000
1225,240.000000
1226,216.000000
1227,116.000000
1228,188.000000
1229,232.000000
1230,176.000000
1231,200.000000
1232,208.000000
1233,204.000000
1234,192.000000
1235,204.000000
1236,192.000000
1237,212.000000
1238,204.000000
1239,216.000000
1240,180.000000
1241,224.000000
1242,204.000000
1243,176.000000
1244,196.000000
1245,184.000000
1246,168.000000
1247,196.000000
1248,208.000000
1249,164.000000
1250,196.000000
1251,184.000000
1252,220.000000
1253,160.000000
1254,196.000000
1255,232.000000
1256,232.000000
1257,224.000000
1258,208.000000
1259,208.000000
1260,232.000000
1261,208.000000
1262,220.000000
1263,220.000000
1264,224.000000
1265,208.000000
1266,196.000000
1267,196.000000
1268,184.000000
1269,188.000000
1270,200.000000
1271,204.000000
1272,208.000000
1273,208.000000
1274,224.000000
1275,232.000000
1276,216.000000
1277,204.000000
1278,188.000000
1279,200.000000
1280,216.000000
1281,204.000000
1282,196.000000
1283,168.000000
1284,196.000000
1285,200.000000
1286,172.000000
1287,216.000000
1288,224.000000
1289,224.000000
1290,216.000000
1291,204.000000
1292,208.000000
1293,192.000000
1294,176.000000
1295,204.000000
1296,204.000000
1297,204.000000
1298,168.000000
1299,224.000000
1300,272.000000
1301,212.000000
1302,200.000000
1303,220.000000
1304,204.000000
1305,196.000000
1306,280.000000
1307,192.000000
1308,176.000000
1309,204.000000
1310,204.000000
1311,224.000000
1312,216.000000
1313,196.000000
1314,204.000000
1315,208.000000
1316,212.000000
1317,208.000000
1318,188.000000
1319,232.000000
1320,192.000000
1321,212.000000
1322,204.000000
1323,224.000000
1324,192.000000
1325,156.000000
1326,184.000000
1327,208.000000
1328,204.000000
1329,220.000000
1330,192.000000
1331,200.000000
1332,200.000000
1333,200.000000
1334,200.000000
1335,216.000000
1336,204.000000
1337,204.000000
1338,184.000000
1339,208.000000
1340,212.000000
1341,196.000000
1342,152.000000
1343,220.000000
1344,208.000000
1345,204.000000
1346,208.000000
1347,192.000000
1348,196.000000
1349,192.000000
1350,184.000000
1351,276.000000
1352,216.000000
1353,220.000000
1354,200.000000
1355,196.000000
1356,208.000000
1357,212.000000
1358,204.000000
1359,164.000000
1360,196.000000
1361,196.000000
1362,204.000000
1363,208.000000
1364,224.000000
1365,192.000000
1366,192.000000
1367,220.000000
1368,208.000000
1369,228.000000
1370,176.000000
1371,204.000000
1372,192.000000
1373,192.000000
1374,204.000000
1375,192.000000
1376,196.000000
1377,192.000000
1378,196.000000
1379,216.000000
1380,196.000000
1381,184.000000
1382,200.000000
1383,288.000000
1384,224.000000
1385,236.000000
1386,224.000000
1387,248.000000
1388,200.000000
1389,188.000000
1390,244.000000
1391,196.000000
1392,196.000000
1393,168.000000
1394,244.000000
1395,208.000000
1396,196.000000
1397,200.000000
1398,208.000000
1399,232.000000
1400,196.000000
1401,204.000000
1402,192.000000
1403,188.000000
1404,196.000000
1405,196.000000
1406,196.000000
1407,196.000000
1408,224.000000
1409,196.000000
1410,176.000000
1411,216.000000
1412,196.000000
1413,336.000000
1414,232.000000
1415,212.000000
1416,188.000000
1417,220.000000
1418,216.000000
1419,216.000000
1420,212.000000
1421,204.000000
1422,216.000000
1423,196.000000
1424,160.000000
1425,236.000000
1426,280.000000
1427,200.000000
1428,212.000000
1429,220.000000
1430,188.000000
1431,200.000000
1432,204.000000
1433,220.000000
1434,196.000000
1435,192.000000
1436,184.000000
1437,224.000000
1438,192.000000
1439,112.000000
1440,196.000000
1441,180.000000
1442,276.000000
1443,184.000000
1444,200.000000
1445,200.000000
1446,232.000000
1447,200.000000
1448,164.000000
1449,208.000000
1450,196.000000
1451,184.000000
1452,208.000000
1453,192.000000
1454,192.000000
1455,176.000000
1456,168.000000
1457,184.000000
1458,192.000000
1459,176.000000
1460,196.000000
1461,196.000000
1462,224.000000
1463,180.000000
1464,208.000000
1465,168.000000
1466,200.000000
1467,208.000000
1468,164.000000
1469,164.000000
1470,204.000000
1471,188.000000
1472,232.000000
1473,188.000000
1474,224.000000
1475,176.000000
1476,192.000000
1477,216.000000
1478,188.000000
1479,196.000000
1480,196.000000
1481,228.000000
1482,244.000000
1483,220.000000
1484,196.000000
1485,216.000000
1486,212.000000
1487,204.000000
1488,220.000000
1489,184.000000
1490,176.000000
1491,192.000000
1492,228.000000
1493,184.000000
1494,196.000000
1495,196.000000
1496,204.000000
1497,204.000000
1498,192.000000
1499,204.000000
1500,184.000000
1501,180.000000
1502,192.000000
1503,176.000000
1504,180.000000
1505,216.000000
1506,212.000000
1507,204.000000
1508,176.000000
1509,176.000000
1510,268.000000
1511,212.000000
1512,216.000000
1513,208.000000
1514,216.000000
1515,204.000000
1516,216.000000
1517,208.000000
1518,216.000000
1519,208.000000
1520,216.000000
1521,216.000000
1522,220.000000
1523,252.000000
1524,224.000000
1525,204.000000
1526,212.000000
1527,192.000000
1528,208.000000
1529,204.000000
1530,200.000000
1531,204.000000
1532,204.000000
1533,192.000000
1534,220.000000
1535,204.000000
1536,204.000000
1537,204.000000
1538,192.000000
1539,176.000000
1540,232.000000
1541,216.000000
1542,228.000000
1543,208.000000
1544,224.000000
1545,204.000000
1546,208.000000
1547,196.000000
1548,192.000000
1549,272.000000
1550,216.000000
1551,216.000000
1552,224.000000
1553,188.000000
1554,216.000000
1555,180.000000
1556,216.000000
1557,236.000000
1558,196.000000
1559,200.000000
1560,196.000000
1561,192.000000
1562,200.000000
1563,176.000000
1564,192.000000
1565,196.000000
1566,212.000000
1567,236.000000
1568,216.000000
1569,212.000000
1570,244.000000
1571,232.000000
1572,208.000000
1573,208.000000
1574,236.000000
1575,208.000000
1576,188.000000
1577,196.000000
1578,204.000000
1579,196.000000
1580,200.000000
1581,176.000000
1582,184.000000
1583,296.000000
1584,156.000000
1585,236.000000
1586,224.000000
1587,184.000000
1588,204.000000
1589,196.000000
1590,204.000000
1591,176.000000
1592,236.000000
1593,196.000000
1594,196.000000
1595,220.000000
1596,232.000000
1597,220.000000
1598,196.000000
1599,148.000000
1600,216.000000
1601,208.000000
1602,212.000000
1603,188.000000
1604,208.000000
1605,128.000000
1606,176.000000
1607,192.000000
1608,196.000000
1609,188.000000
1610,232.000000
1611,200.000000
1612,204.000000
1613,208.000000
1614,200.000000
1615,184.000000
1616,204.000000
1617,232.000000
1618,208.000000
1619,216.000000
1620,196.000000
1621,216.000000
1622,200.000000
1623,216.000000
1624,200.000000
1625,188.000000
1626,204.000000
1627,228.000000
1628,192.000000
1629,196.000000
1630,216.000000
1631,216.000000
1632,188.000000
1633,204.000000
1634,220.000000
1635,200.000000
1636,204.000000
1637,196.000000
1638,204.000000
1639,204.000000
1640,216.000000
1641,208.000000
1642,176.000000
1643,184.000000
1644,216.000000
1645,184.000000
1646,212.000000
1647,204.000000
1648,244.000000
1649,168.000000
1650,200.000000
1651,164.000000
1652,208.000000
1653,192.000000
1654,180.000000
1655,164.000000
1656,184.000000
1657,212.000000
1658,236.000000
1659,208.000000
1660,208.000000
1661,224.000000
1662,160.000000
1663,232.000000
1664,204.000000
1665,212.000000
1666,176.000000
1667,204.000000
1668,224.000000
1669,224.000000
1670,196.000000
1671,192.000000
1672,212.000000
1673,164.000000
1674,308.000000
1675,236.000000
1676,224.000000
1677,220.000000
1678,212.000000
1679,216.000000
1680,232.000000
1681,208.000000
1682,192.000000
1683,216.000000
1684,172.000000
1685,204.000000
1686,240.000000
1687,192.000000
1688,248.000000
1689,176.000000
1690,168.000000
1691,192.000000
1692,208.000000
1693,208.000000
1694,192.000000
1695,176.000000
1696,180.000000
1697,184.000000
1698,196.000000
1699,192.000000
1700,216.000000
1701,192.000000
1702,224.000000
1703,204.000000
1704,192.000000
1705,192.000000
1706,164.000000
1707,220.000000
1708,204.000000
1709,200.000000
1710,164.000000
1711,204.000000
1712,208.000000
1713,184.000000
1714,200.000000
1715,176.000000
1716,204.000000
1717,196.000000
1718,252.000000
1719,200.000000
1720,204.000000
1721,200.000000
1722,212.000000
1723,228.000000
